sample_id,task,query,instruction,condition,top_k,output_text,factual_grounding,relevance,readability,completeness,usefulness,reviewer_name
11,concept_explanation,What does the fluid mosaic model describe?,"In 1-2 sentences, explain what the fluid mosaic model describes.",k_3,3,osmosis.,1,1,3,1,1,reviewer 2
12,concept_explanation,What does the fluid mosaic model describe?,"In 1-2 sentences, explain what the fluid mosaic model describes.",k_5,5,osmosis.,2,1,3,1,1,reviewer 2
13,definition,What are membrane proteins?,"In 1-2 sentences, explain what membrane proteins are and what they do.",baseline,0,Membrane proteins are the membranes of the cell membrane.,1,2,3,2,2,reviewer 2
14,definition,What are membrane proteins?,"In 1-2 sentences, explain what membrane proteins are and what they do.",k_1,1,Membrane proteins,2,3,5,1,1,reviewer 2
15,definition,What are membrane proteins?,"In 1-2 sentences, explain what membrane proteins are and what they do.",k_3,3,Transport materials into or out of the cell.,5,4,5,2,3,reviewer 2
16,definition,What are membrane proteins?,"In 1-2 sentences, explain what membrane proteins are and what they do.",k_5,5,"Summary The fluid mosaic model of the plasma membrane explains the structure and functions of the plasma membrane as a mosaic of components, including phospholipids, cholesterol, proteins, and carbohydrates.",5,3,4,2,3,reviewer 2
17,concept_explanation,What does selectively permeable mean?,"In 1-2 sentences, explain what selectively permeable means for the plasma membrane.",baseline,0,a permeable membrane,2,3,4,1,1,reviewer 2
18,concept_explanation,What does selectively permeable mean?,"In 1-2 sentences, explain what selectively permeable means for the plasma membrane.",k_1,1,asymmetric,3,2,5,1,1,reviewer 2
19,concept_explanation,What does selectively permeable mean?,"In 1-2 sentences, explain what selectively permeable means for the plasma membrane.",k_3,3,asymmetric,4,2,4,1,2,reviewer 2
20,concept_explanation,What does selectively permeable mean?,"In 1-2 sentences, explain what selectively permeable means for the plasma membrane.",k_5,5,The plasma membrane is asymmetric: the interior of the membrane is not identical to the exterior of the membrane. Recall that plasma membranes are asymmetric: they have hydrophilic and hydrophobic regions. Recall that plasma membranes are amphiphilic: They have hydrophilic and hydrophobic regions. Recall that plasma membranes are amphiphilic: They have hydrophilic and hydrophobic regions. Recall that plasma membranes are amphiphilic: They have hydrophilic and hydrophobic regions. Recall that plasma membranes are amphiphilic: They have hydrophilic and hydrophobic regions. Recall that plasma membranes are amphiphilic: They have hydrophilic and hydrophobic regions. Recall that plasma membranes are asymmetric: They have hydrophilic and hydrophobic regions. Recall that plasma membranes are asymmetric: They have hydrophilic and hydrophobic regions. Recall that plasma membranes are asymmetric: They have hydrophilic and hydrophobic regions. Recall that plasma membranes are asymmetric: They have hydrophilic and hydrophobic regions. Recall,3,2,1,2,1,reviewer 2
21,definition,What is diffusion?,"In 1-2 sentences, explain what diffusion is.",baseline,0,diffusion is the process of transferring energy from one substance to another.,1,2,4,1,1,reviewer 2
22,definition,What is diffusion?,"In 1-2 sentences, explain what diffusion is.",k_1,1,molecules,2,2,4,1,1,reviewer 2
23,definition,What is diffusion?,"In 1-2 sentences, explain what diffusion is.",k_3,3,molecules move around and will spread evenly throughout the medium if they can,4,5,3,4,3,reviewer 2
24,definition,What is diffusion?,"In 1-2 sentences, explain what diffusion is.",k_5,5,The rate of diffusion is determined by the mass of the molecules that are diffusing. The rate of diffusion is determined by the mass of the molecules that are diffusing. The rate of diffusion is determined by the mass of the molecules that are diffusing.,4,2,2,1,2,reviewer 2
25,concept_explanation,Does passive transport require cellular energy?,"In 1-2 sentences, explain whether passive transport requires cellular energy and how substances move during passive transport.",baseline,0,Cellular energy is required for passive transport.,2,4,5,2,2,reviewer 2
26,concept_explanation,Does passive transport require cellular energy?,"In 1-2 sentences, explain whether passive transport requires cellular energy and how substances move during passive transport.",k_1,1,passive transport,3,3,5,1,1,reviewer 2
27,concept_explanation,Does passive transport require cellular energy?,"In 1-2 sentences, explain whether passive transport requires cellular energy and how substances move during passive transport.",k_3,3,"Passive transport is a naturally occurring phenomenon and does not require the cell to exert any of its energy to accomplish the movement. In passive transport, substances move from an area of higher concentration to an area of lower concentration. A physical space in which there is a range of concentrations of a single substance is said to have a concentration gradient.",5,5,4,5,4,reviewer 2
28,concept_explanation,Does passive transport require cellular energy?,"In 1-2 sentences, explain whether passive transport requires cellular energy and how substances move during passive transport.",k_5,5,cellular energy be used to achieve the movement of substances.,1,3,2,1,2,reviewer 2
